,idx,sentence,followup,ftype,stype,gpt2small_response,gpt2med_response,gpt2large_response,gpt2xl_response
0,64,Every laptop is facing this glitch,and each glitch is causing major issues to users.,F2,Sc,-40.871665954589844,-35.38200759887695,-38.43042325973511,-35.69351387023926
1,66,You find every animal from The Lion King in most zoos,but other zoos each only have half of them.,F2,S,-40.768699645996094,-42.81812286376953,-43.77464723587036,-43.7960901260376
2,27,I didn't feed a dog,even though I was supposed to feed him.,F1,S,-21.41839599609375,-20.394351959228516,-20.33904457092285,-22.066375255584717
3,59,Some textbooks cite three authors on colonialism,and each trio of authors is well-respected.,F2,S,-40.605316162109375,-38.0368537902832,-36.37886047363281,-37.21878528594971
4,2,I will probably watch an episode of Tom and Jerry that I love,but I don't know which episode.,F2,S,-19.72614288330078,-17.51348114013672,-17.86617946624756,-16.92256784439087
5,57,A few people own most investment stocks,"because everyone wants to buy them, and everyone can afford to.",F2,S,-35.16001510620117,-34.92554152011871,-35.13238286972046,-38.39304208755493
6,63,Most graduate students shop from two thrift stores,and I'm sure each pair of thrift stores offers great deals.,F2,S,-48.60475158691406,-47.07266426086426,-53.379443645477295,-52.51051473617554
7,50,I sparred with two boxers,although it's a different pair of boxers each time.,F2,Sc,-44.251041412353516,-40.44615173339844,-39.021668434143066,-36.286001205444336
8,3,A classmate of mine must tell me they love me,but I don't know which one.,F2,S,-16.755752563476562,-17.79460906982422,-15.362232685089111,-15.772865295410156
9,60,Most fast-food chains exclusively sell a brand of soda,because it's a popular brand of soda.,F1,S,-21.865814208984375,-23.802379608154297,-22.316018104553223,-19.048723220825195
10,53,I drank with most people I play chess against,even though it's a different set of people each time.,F2,Sc,-36.154354095458984,-34.46572971343994,-30.807223796844482,-31.059273719787598
11,13,I bought a sandwich from Subway,but I don't know which one.,F2,Sc,-19.148605346679688,-19.03266143798828,-18.62945795059204,-17.01947784423828
12,67,All students are supervised by these two professors,since we have more than enough professors.,F2,Sc,-28.864761352539062,-29.281444549560547,-27.67894172668457,-27.998018264770508
13,60,Most fast-food chains exclusively sell this brand of soda,because it's a popular brand of soda.,F1,Sc,-19.296783447265625,-21.6170654296875,-20.170515537261963,-18.06145191192627
14,47,I usually dust some shelves at home,because I enjoy cleaning those shelves.,F1,S,-26.023025512695312,-22.96881103515625,-25.209402561187744,-23.033198356628418
15,48,I greeted most people in my lab,since I like them even outside work.,F1,Sc,-45.34248352050781,-41.13180160522461,-35.66994524002075,-40.07414388656616
16,57,A few people own these investment stocks,"because although everyone wants to buy them, no one else can afford to.",F1,Sc,-42.0257682800293,-42.47887897491455,-43.201077938079834,-43.811694622039795
17,67,All students are supervised by two professors,since we don't have enough professors.,F1,S,-26.269332885742188,-23.67078399658203,-22.525367259979248,-21.951053619384766
18,51,I always wear a jacket before going out,as it's my favourite one.,F1,S,-24.377914428710938,-22.658409118652344,-22.18574810028076,-25.343149662017822
19,63,Most graduate students shop from these two thrift stores,and I'm sure each pair of thrift stores offers great deals.,F2,Sc,-45.89433288574219,-42.552263259887695,-48.80585527420044,-48.51923418045044
20,51,I wore a jacket before going out,as it's my favourite one.,F1,Sc,-27.121116638183594,-23.41259765625,-22.43099546432495,-24.61175775527954
21,31,I missed most of Breaking Bad,as I only watched a couple episodes.,F1,Sc,-21.820960998535156,-21.027057647705078,-22.427959442138672,-21.11224937438965
22,61,Most honeybees search for these flowers,because the flowers are very fragrant.,F1,Sc,-21.574356079101562,-15.560558319091797,-16.72207736968994,-21.220348834991455
23,19,I deserve to work at a Fortune 500 company,but I don't care which one.,F2,S,-20.057373046875,-21.055877685546875,-20.271305084228516,-22.076415061950684
24,17,I tested most tools in the shop,and I know which tools those are.,F1,Sc,-26.803993225097656,-27.277484893798828,-27.447904586791992,-24.51427412033081
25,8,I will likely speak face-to-face with most of my classmates,but I don't know which ones those are.,F2,S,-28.352684020996094,-28.74890899658203,-28.69866132736206,-27.497955322265625
26,31,I missed most of Breaking Bad,because I watched only just over half the episodes.,F2,Sc,-32.825599670410156,-30.49102759361267,-33.08287048339844,-30.253501892089844
27,17,I want to test most tools in the shop,but I don't know which tools those are.,F2,S,-25.650291442871094,-24.349830627441406,-25.11750316619873,-23.084137439727783
28,55,Some farmers own this donkey,and the donkey is happy.,F1,Sc,-19.36725616455078,-18.920440673828125,-16.65404176712036,-17.194130897521973
29,20,I met all the extended members of my family,even though I don't know who they are yet.,F2,Sc,-24.752639770507812,-24.434486389160156,-23.980822563171387,-24.942545413970947
30,37,I condemned every statement the President made,as I thought every one of them was horrible.,F1,Sc,-32.54820251464844,-32.85170364379883,-29.238604068756104,-27.393396377563477
31,1,I met a close friend of mine in the morning,but I don't know which one.,F2,Sc,-20.2384033203125,-21.54345703125,-21.29145622253418,-21.688861846923828
32,34,I didn't catch most balls at baseball practice yesterday,"in fact, I successfully made only three of the fifteen catches possible.",F1,S,-67.12016296386719,-60.37636184692383,-56.42609405517578,-56.75814771652222
33,46,I usually hammer a wall in the morning,but it's a different wall each time.,F2,S,-28.176292419433594,-26.381112098693848,-24.779481410980225,-25.593933582305908
34,61,Most honeybees search for some flowers,and each set of flowers is very fragrant.,F2,S,-35.99552917480469,-34.40704536437988,-35.27094602584839,-36.51543617248535
35,67,All students are supervised by two professors,since we have more than enough professors.,F2,S,-31.157470703125,-30.288909912109375,-27.764647006988525,-27.2440505027771
36,62,Most T-shirts are made by all manufacturers,while some other T-shirts are produced under exclusive licenses.,F2,S,-40.003268241882324,-36.00107955932617,-35.14703845977783,-34.6830677986145
37,62,Most T-shirts are made by all manufacturers,as it's profitable for every manufacturer to make a wide-range of T-shirts.,F1,S,-55.31276893615723,-47.81136894226074,-47.37080526351929,-47.62728404998779
38,31,I didn't watch most of Breaking Bad,because I watched only just over half the episodes.,F2,S,-32.63392639160156,-30.006820678710938,-31.398615837097168,-29.56576633453369
39,56,Some local guitarists play with a few backing vocalists,and each set of backing vocalists is talented.,F2,S,-37.24439239501953,-33.347886085510254,-33.56948184967041,-36.28431415557861
40,2,I will probably watch an episode of Tom and Jerry that I love,and I know which episode.,F1,S,-25.70429229736328,-24.483078002929688,-26.143508911132812,-21.20331573486328
41,20,I met all the extended members of my family,because I care deeply about them.,F1,Sc,-18.92523193359375,-18.863950729370117,-20.199666500091553,-20.999028205871582
42,65,All urban planners eat a few boxes of pizza,because we have more than enough pizza to go around.,F2,S,-28.27276611328125,-25.973186492919922,-27.118834018707275,-25.519367694854736
43,50,I generally spar with two boxers,because the two boxers are good training partners.,F1,S,-28.557926177978516,-29.23044204711914,-28.578669548034668,-28.574928283691406
44,16,"One day, I hope to interview some of my favourite footballers",but I don't know which ones.,F2,S,-18.39349365234375,-17.85173797607422,-16.186781883239746,-16.680649757385254
45,22,I request to spend New Year's with most members of my team,even though I haven't met them yet.,F2,S,-20.55224609375,-19.70940399169922,-21.97106170654297,-21.25653600692749
46,34,I dropped most balls at baseball practice yesterday,"in fact, I successfully made only three of the fifteen catches possible.",F1,Sc,-67.58761596679688,-61.763877868652344,-60.702797412872314,-60.53709840774536
47,51,I always wear a jacket before going out,although it's a different one each time.,F2,S,-31.30060577392578,-26.72893524169922,-24.69607639312744,-25.40242624282837
48,39,I didn't win five games of tennis on Saturday,even though I was supposed to win them.,F1,S,-21.925750732421875,-20.151039123535156,-21.753666400909424,-19.181850910186768
49,11,I ordered three of my favourite items on the menu,and I know which three.,F1,Sc,-27.38353729248047,-23.080459594726562,-25.23704195022583,-23.23944854736328
50,23,I crave to eat a donut from Krispy Kreme,but I don't care which one.,F2,S,-19.920997619628906,-21.4510498046875,-20.6387939453125,-19.947954654693604
51,55,Some farmers own this donkey,and their donkeys are happy.,F2,Sc,-25.31169891357422,-24.168424606323242,-25.661625385284424,-26.32766342163086
52,12,"This holiday season, I must donate to two charities",but I don't know which ones.,F2,S,-21.318763732910156,-16.85948944091797,-17.263927936553955,-14.047667980194092
53,34,I dropped most balls at baseball practice yesterday,but I did make around half of the fifteen catches possible.,F2,Sc,-55.59419250488281,-50.98386001586914,-51.95235776901245,-51.231383323669434
54,66,You find every animal from The Lion King in most zoos,but don't expect to see all of them in the same zoo.,F1,S,-27.77692413330078,-26.777164459228516,-25.542710304260254,-28.1230525970459
55,47,I usually dust some shelves at home,although it's a different set of shelves each time.,F2,S,-33.606971740722656,-35.29872798919678,-34.74795484542847,-32.729700565338135
56,13,I want to buy a sandwich from Subway,and I know which one.,F1,S,-20.7857666015625,-20.32707977294922,-20.13089609146118,-16.299641609191895
57,29,I didn't notice an error in my code,and so my code didn't work properly.,F1,S,-27.559280395507812,-24.826507568359375,-24.521368980407715,-23.937382698059082
58,24,I gave my father five trading cards I love,but I don't know which ones.,F2,Sc,-18.64641571044922,-18.02788543701172,-19.246079921722412,-16.727437019348145
59,7,I became a fan of most ex-members of One Direction,but I don't know which ex-members those are.,F2,Sc,-33.45983028411865,-34.52161407470703,-33.373939990997314,-34.25068378448486
60,48,I frequently greet most people in my lab,since I like them even outside work.,F1,S,-42.64836502075195,-39.512399673461914,-35.94006395339966,-37.16384315490723
61,27,I starved a dog,even though I was supposed to feed him.,F1,Sc,-23.401763916015625,-19.067909240722656,-19.046512603759766,-21.601323127746582
62,51,I wore a jacket before going out,although it's a different one each time.,F2,Sc,-34.13645935058594,-31.149124145507812,-28.76403570175171,-31.340455532073975
63,26,I expect to finish two hikes before the end of the month,and I chose those two hikes for their low difficulty.,F1,S,-45.96894073486328,-39.025075912475586,-37.63024425506592,-37.00047540664673
64,6,I must win a few matches this week,but I don't know which ones.,F2,S,-18.995925903320312,-17.38251495361328,-17.71107769012451,-16.69949197769165
65,16,"One day, I hope to interview some of my favourite footballers",and I know which ones.,F1,S,-23.490257263183594,-21.92450714111328,-21.975224018096924,-20.293301105499268
66,22,I request to spend New Year's with most members of my team,because I am close to them.,F1,S,-20.075096130371094,-19.30351758003235,-19.67219114303589,-20.289390087127686
67,35,I failed all of my exams,"in other words, I got a grade of F in all of them.",F1,Sc,-43.473167419433594,-43.11195373535156,-40.08448505401611,-39.26444387435913
68,45,I occasionally consult two dentists,since I trust the two dentists.,F1,S,-29.90957260131836,-32.63796424865723,-30.596200942993164,-31.21519708633423
69,54,I bought four lamps from IKEA,because I love those four designs.,F1,Sc,-29.266159057617188,-31.50281524658203,-27.321031093597412,-29.607985496520996
70,48,I greeted most people in my lab,even though it's a different set of people each time.,F2,Sc,-36.68291473388672,-36.58591032028198,-32.47426509857178,-35.01075792312622
71,3,A classmate of mine told me they love me,and I know which one.,F1,Sc,-19.403823852539062,-22.1246337890625,-20.171171188354492,-20.51524829864502
72,19,I deserve to work at a Fortune 500 company,because I'm perfect for that company.,F1,S,-25.012413024902344,-22.51995086669922,-23.281620979309082,-21.818581104278564
73,60,Most fast-food chains exclusively sell this brand of soda,"and in each case, the brand of soda is popular.",F2,Sc,-39.387855529785156,-35.59895706176758,-35.29878520965576,-36.93636465072632
74,2,I watched an episode of Tom and Jerry that I love,but I don't know which episode.,F2,Sc,-19.553543090820312,-19.901260375976562,-19.64627981185913,-18.929538249969482
75,8,I spoke face-to-face with most of my classmates,and I know which ones those are.,F1,Sc,-27.656753540039062,-28.483009338378906,-27.39086151123047,-26.735201358795166
76,34,I didn't catch most balls at baseball practice yesterday,but I did make around half of the fifteen catches possible.,F2,S,-50.73539733886719,-47.077850341796875,-48.89826202392578,-49.21667289733887
77,12,"This holiday season, I donated to two charities",and I know which ones.,F1,Sc,-25.40576171875,-21.146942138671875,-21.371784210205078,-21.334306716918945
78,33,I allowed some people to leave the office early on Friday,because there's wasn't even anyone at the office on Friday.,F2,Sc,-45.492454528808594,-42.52456474304199,-41.14694929122925,-41.75134229660034
79,1,I met a close friend of mine in the morning,and I know which one.,F1,Sc,-22.22722625732422,-24.773277282714844,-24.487244129180908,-24.13009548187256
80,44,I occasionally dance with all my siblings,although each time it's with a different one.,F2,S,-33.18389129638672,-30.294979095458984,-29.757171630859375,-29.86878538131714
81,44,I occasionally dance with all my siblings,together on New Year's Eve.,F1,S,-18.3787841796875,-17.282658100128174,-18.385645866394043,-17.535781383514404
82,20,I wish to meet all the extended members of my family,because I care deeply about them.,F1,S,-17.602127075195312,-16.94113540649414,-17.17683696746826,-18.38110589981079
83,26,I finished two hikes before the end of the month,although I haven't chosen which two hikes yet.,F2,Sc,-44.513153076171875,-37.382686614990234,-39.678382873535156,-37.70877504348755
84,40,I didn't reject three applications for the job,despite the fact that my boss told me to reject them.,F1,S,-28.28521728515625,-26.167522430419922,-27.198381423950195,-26.895116806030273
85,50,I sparred with two boxers,because the two boxers are good training partners.,F1,Sc,-33.204864501953125,-33.83628463745117,-32.62828016281128,-33.17160701751709
86,27,I didn't feed a dog,because there was no dog to feed. ,F2,S,-27.373672485351562,-25.897113800048828,-24.808237552642822,-25.56079339981079
87,65,All urban planners eat a few boxes of pizza,because we don't have enough pizza to go around.,F1,S,-25.957801818847656,-24.06443977355957,-25.14552593231201,-23.28706407546997
88,5,I gave myself some tattoos,but I don't know which ones.,F2,Sc,-18.89446258544922,-18.09937286376953,-17.684772491455078,-17.45998191833496
89,49,I often drink every bottle in the shared fridge,despite the fact that it's a different set of drinks each time.,F2,S,-36.83124923706055,-39.36932563781738,-39.04205560684204,-35.83798408508301
90,20,I wish to meet all the extended members of my family,even though I don't know who they are yet.,F2,S,-23.04981231689453,-23.033382415771484,-22.74690055847168,-23.383775234222412
91,29,I overlooked an error in my code,because my code had no errors.,F2,Sc,-23.03913116455078,-22.643768310546875,-23.78631019592285,-23.739091873168945
92,21,I aim to travel to a few countries this year,but I don't care about which ones they are.,F2,S,-29.872879028320312,-27.162445068359375,-25.838207721710205,-26.404008865356445
93,10,I saw two of my professors today,and I know which two.,F1,Sc,-25.327377319335938,-22.542495727539062,-24.097606658935547,-21.887444496154785
94,45,I occasionally consult two dentists,although it's a different pair of dentists each time.,F2,S,-40.1416130065918,-36.17879676818848,-34.05675792694092,-30.915215015411377
95,4,I may find some days this week to be sunny,but I don't know which days.,F2,S,-20.123367309570312,-20.73548126220703,-17.741158962249756,-15.063182353973389
96,25,I shared my playlist with three close friends,but I don't care about who they are.,F2,Sc,-26.357398986816406,-26.523208618164062,-27.833521366119385,-26.695981979370117
97,6,I won a few matches this week,and I know which ones.,F1,Sc,-22.092758178710938,-19.439163208007812,-20.45541286468506,-19.0266432762146
98,33,I didn't stop some people from leaving the office early on Friday,although I could have stopped them from doing so.,F1,S,-30.342758178710938,-27.926986694335938,-27.503751277923584,-28.366968631744385
99,17,I want to test most tools in the shop,and I know which tools those are.,F1,S,-27.364837646484375,-25.781368255615234,-26.748371601104736,-23.67402410507202
100,9,I must visit the majority of my neighbours,but I don't know who they are.,F2,S,-16.613792419433594,-17.13874101638794,-17.019914627075195,-17.024292469024658
101,42,I ate a few flavours from St Viateur,and it's different flavours each time.,F2,Sc,-27.932754516601562,-29.17559051513672,-25.106616497039795,-28.435306549072266
