,idx,sentence,followup,ftype,stype,gpt3_response
0,64,Every laptop is facing this glitch,and each glitch is causing major issues to users.,F2,Sc,-37.19776002
1,66,You find every animal from The Lion King in most zoos,but other zoos each only have half of them.,F2,S,-39.144494566
2,27,I didn't feed a dog,even though I was supposed to feed him.,F1,S,-20.494319898999997
3,59,Some textbooks cite three authors on colonialism,and each trio of authors is well-respected.,F2,S,-38.17056985
4,2,I will probably watch an episode of Tom and Jerry that I love,but I don't know which episode.,F2,S,-18.6923171
5,57,A few people own most investment stocks,"because everyone wants to buy them, and everyone can afford to.",F2,S,-36.42553768
6,63,Most graduate students shop from two thrift stores,and I'm sure each pair of thrift stores offers great deals.,F2,S,-52.808411029999995
7,50,I sparred with two boxers,although it's a different pair of boxers each time.,F2,Sc,-37.0804197092
8,3,A classmate of mine must tell me they love me,but I don't know which one.,F2,S,-16.58987705
9,60,Most fast-food chains exclusively sell a brand of soda,because it's a popular brand of soda.,F1,S,-20.918374603
10,53,I drank with most people I play chess against,even though it's a different set of people each time.,F2,Sc,-30.899269834999995
11,13,I bought a sandwich from Subway,but I don't know which one.,F2,Sc,-16.956190630000002
12,67,All students are supervised by these two professors,since we have more than enough professors.,F2,Sc,-31.410607300000002
13,60,Most fast-food chains exclusively sell this brand of soda,because it's a popular brand of soda.,F1,Sc,-20.117826400000002
14,47,I usually dust some shelves at home,because I enjoy cleaning those shelves.,F1,S,-25.008170099999997
15,48,I greeted most people in my lab,since I like them even outside work.,F1,Sc,-35.450008000000004
16,57,A few people own these investment stocks,"because although everyone wants to buy them, no one else can afford to.",F1,Sc,-43.407193427
17,67,All students are supervised by two professors,since we don't have enough professors.,F1,S,-24.086717919999998
18,51,I always wear a jacket before going out,as it's my favourite one.,F1,S,-21.3395506
19,63,Most graduate students shop from these two thrift stores,and I'm sure each pair of thrift stores offers great deals.,F2,Sc,-50.54045327
20,51,I wore a jacket before going out,as it's my favourite one.,F1,Sc,-24.1204284
21,31,I missed most of Breaking Bad,as I only watched a couple episodes.,F1,Sc,-22.280323000000003
