,idx,sentence,followup,ftype,stype,opt125m_response,opt350m_response,opt1b_response,opt3b_response,opt7b_response,opt13b_response,opt30b_response
0,64,Every laptop is facing this glitch,and each glitch is causing major issues to users.,F2,Sc,-38.755770206451416,-38.61482381820679,-37.918349742889404,-37.201626777648926,-38.358062744140625,-38.0567569732666,-36.27095985412598
1,66,You find every animal from The Lion King in most zoos,but other zoos each only have half of them.,F2,S,-40.25811052322388,-42.58280801773071,-42.49211549758911,-41.31136989593506,-39.68205738067627,-41.81521034240723,-41.90083599090576
2,27,I didn't feed a dog,even though I was supposed to feed him.,F1,S,-20.279801845550537,-23.556832313537598,-24.086490631103516,-22.181235313415527,-22.332382202148438,-23.21645164489746,-22.677602767944336
3,59,Some textbooks cite three authors on colonialism,and each trio of authors is well-respected.,F2,S,-39.659929275512695,-41.41458702087402,-36.300182819366455,-37.01010227203369,-37.669185161590576,-36.64881992340088,-35.644447326660156
4,2,I will probably watch an episode of Tom and Jerry that I love,but I don't know which episode.,F2,S,-16.268844604492188,-16.28802251815796,-16.270148277282715,-15.509479522705078,-16.296133995056152,-17.02509307861328,-15.725339889526367
5,57,A few people own most investment stocks,"because everyone wants to buy them, and everyone can afford to.",F2,S,-37.40349721908569,-34.02632474899292,-34.012606620788574,-36.619558334350586,-39.82216930389404,-35.266334533691406,-37.94216728210449
6,63,Most graduate students shop from two thrift stores,and I'm sure each pair of thrift stores offers great deals.,F2,S,-48.469481468200684,-48.74451684951782,-50.172855854034424,-51.29369258880615,-53.19086933135986,-53.916893005371094,-51.286102294921875
7,50,I sparred with two boxers,although it's a different pair of boxers each time.,F2,Sc,-43.53494358062744,-40.487223625183105,-43.6829195022583,-38.855085372924805,-41.05982208251953,-38.289072036743164,-39.51911640167236
8,3,A classmate of mine must tell me they love me,but I don't know which one.,F2,S,-15.259507656097412,-16.450562477111816,-17.009319305419922,-17.714889526367188,-17.033068656921387,-19.042606353759766,-19.975431442260742
9,60,Most fast-food chains exclusively sell a brand of soda,because it's a popular brand of soda.,F1,S,-19.608994483947754,-22.32938575744629,-20.243884086608887,-21.56256866455078,-20.773694038391113,-19.60620880126953,-19.648134231567383
10,53,I drank with most people I play chess against,even though it's a different set of people each time.,F2,Sc,-31.608221530914307,-34.09754180908203,-28.242304801940918,-28.448987007141113,-29.879592895507812,-28.580541610717773,-29.618340492248535
11,13,I bought a sandwich from Subway,but I don't know which one.,F2,Sc,-17.520268440246582,-18.574251174926758,-17.968103408813477,-16.95585823059082,-16.897281646728516,-16.148305892944336,-17.42354393005371
12,67,All students are supervised by these two professors,since we have more than enough professors.,F2,Sc,-30.940913677215576,-26.551427841186523,-25.5895414352417,-27.48904800415039,-29.370747566223145,-27.38186264038086,-28.033296585083008
13,60,Most fast-food chains exclusively sell this brand of soda,because it's a popular brand of soda.,F1,Sc,-17.479595184326172,-20.521727561950684,-17.399788856506348,-20.103514671325684,-19.44192600250244,-20.50669288635254,-20.690871238708496
14,47,I usually dust some shelves at home,because I enjoy cleaning those shelves.,F1,S,-23.569000244140625,-23.030076026916504,-24.587459564208984,-27.335013389587402,-26.899169921875,-27.794551849365234,-25.2393741607666
15,48,I greeted most people in my lab,since I like them even outside work.,F1,Sc,-38.96430540084839,-39.137211084365845,-35.60975933074951,-34.92900371551514,-33.05861854553223,-35.191097259521484,-35.723655700683594
16,57,A few people own these investment stocks,"because although everyone wants to buy them, no one else can afford to.",F1,Sc,-47.31192064285278,-43.56172847747803,-42.92678356170654,-41.37995910644531,-42.25936222076416,-42.91574478149414,-44.96906566619873
17,67,All students are supervised by two professors,since we don't have enough professors.,F1,S,-26.926290035247803,-21.72346305847168,-21.439265251159668,-21.80722713470459,-22.736440658569336,-22.00393295288086,-25.457582473754883
18,51,I always wear a jacket before going out,as it's my favourite one.,F1,S,-23.231575965881348,-24.38368558883667,-24.21075201034546,-23.910836219787598,-24.106698036193848,-23.50126075744629,-22.296354293823242
19,63,Most graduate students shop from these two thrift stores,and I'm sure each pair of thrift stores offers great deals.,F2,Sc,-46.793968200683594,-47.373178005218506,-48.855319023132324,-49.93116855621338,-51.966286182403564,-51.59175682067871,-52.73025035858154
20,51,I wore a jacket before going out,as it's my favourite one.,F1,Sc,-27.063236236572266,-26.71578359603882,-22.528409004211426,-25.232430458068848,-26.347156524658203,-24.734445571899414,-23.150712966918945
21,31,I missed most of Breaking Bad,as I only watched a couple episodes.,F1,Sc,-18.79153060913086,-19.74854850769043,-18.908082962036133,-19.279711723327637,-20.71193790435791,-19.681812286376953,-20.837343215942383
